Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-26,13.4161,13.5347,12.9302,13.3511,18045769.546939
1999-11-29,13.2896,13.3511,13.0506,13.113,6258259.67771
1999-11-30,13.2333,13.4706,13.2333,13.3511,3740809.3890861
1999-12-01,13.4706,13.7729,13.3511,13.7729,3502573.8213901
1999-12-02,13.8994,14.3203,13.8353,14.0189,3760072.8526114
1999-12-03,14.0189,14.2571,13.8994,14.1991,2683381.0087344
1999-12-06,14.3203,14.8036,14.3203,14.7413,3419840.0507971
1999-12-07,14.6841,14.7413,14.5014,14.5014,2761144.9946511
1999-12-08,14.5014,14.8599,14.5014,14.6208,4332871.5479159
1999-12-09,14.6208,14.6208,14.2571,14.5014,2860334.7044286
1999-12-10,14.6208,14.6208,14.3757,14.4381,2131624.520589
1999-12-13,14.3757,14.5014,14.2571,14.3203,1795085.769853
1999-12-14,14.5014,14.7413,14.5014,14.7413,3597322.9312576
1999-12-15,14.6841,14.6841,14.5014,14.5593,1491725.1969168
1999-12-16,14.5014,14.5014,14.3203,14.3757,1667725.2219999
1999-12-17,14.3757,14.5014,14.3203,14.3203,1534998.8544197
1999-12-20,14.5014,14.6841,14.4381,14.6841,2772829.1666848
1999-12-21,14.5593,14.9855,14.5593,14.7413,1811088.7723988
1999-12-22,15.1068,15.5892,15.1068,15.4635,3259137.4485714
1999-12-23,15.5277,15.7087,15.4082,15.4635,1487250.4560542
1999-12-27,15.5277,15.8914,15.5277,15.5892,1752671.3263256
1999-12-28,15.5277,15.5277,15.163,15.2245,1275709.6992469
1999-12-29,15.2245,15.7728,15.2245,15.7728,2289808.6585398
2000-01-03,16.0742,16.3124,15.8291,16.1305,1828609.9093065
2000-01-04,15.7087,15.7087,15.3441,15.4635,2244492.2340359
2000-01-05,14.924,15.4082,14.924,15.2878,3094218.4386916
2000-01-06,15.3441,15.6463,15.163,15.5892,1870278.9420341
2000-01-07,15.8291,16.4952,15.8291,16.3124,4765514.8043403
2000-01-10,16.3766,17.1595,16.3766,16.4952,5022571.1412088
2000-01-11,16.2491,16.3766,15.8914,16.1928,1917558.4713163
2000-01-12,15.8291,16.1305,15.8291,16.1305,1555176.1574446
2000-01-13,16.1928,16.7333,16.1928,16.6146,2437064.2775425
2000-01-14,16.6146,16.8598,16.3124,16.4952,4579584.3141587
2000-01-17,16.3124,16.4952,16.3124,16.3766,2013356.8464624
2000-01-18,16.431,16.4952,15.8914,16.011,1418371.0840527
2000-01-19,15.7728,16.1305,15.7728,16.0742,1762149.9928171
2000-01-20,16.1305,16.3766,15.9477,16.3124,2463017.0917267
2000-01-21,16.1928,16.4952,16.1928,16.431,1790540.4710216
2000-01-24,16.1928,16.1928,15.7087,15.9477,1348123.797881
2000-01-25,15.5277,15.5277,14.8036,15.3441,2199765.3099813
2000-01-26,15.3441,15.4635,15.163,15.3441,1583533.6327282
2000-01-27,15.2245,15.5892,15.2245,15.5892,1134412.814516
2000-01-28,15.6463,15.9477,15.2245,15.4082,1189151.0039237
2000-01-31,15.2878,15.2878,15.1068,15.163,1025368.8877676
2000-02-01,15.4635,15.7728,14.924,14.9855,1633430.635048
2000-02-02,15.0435,15.163,14.8599,15.1068,1852768.0474122
2000-02-03,15.2245,15.7728,15.2245,15.6463,2129807.0838755
2000-02-04,15.8291,16.011,15.3441,15.4635,1639376.8509705
2000-02-07,15.4082,15.5277,15.163,15.2878,1416359.0439089
2000-02-08,15.2878,15.2878,14.9855,15.1068,2039489.4696639
2000-02-09,15.2245,15.2878,14.7413,14.8036,3535823.6951905
2000-02-10,14.7413,14.8036,14.5014,14.6841,1623194.0394073
2000-02-11,14.5014,14.5014,13.9557,14.0743,3920041.4243548
2000-02-14,13.7729,14.6208,13.7729,14.5014,2939926.3693446
